,guests,beds,bathrooms,price_night,cleanliness_rate,accuracy_rate,communication_rate,location_rate,check-in_rate,value_rate,amenities_count,bedrooms
278,4.0,3.0,1.0,59.0,5.0,5.0,5.0,4.9,5.0,4.9,25.0,1.0
279,2.0,2.0,1.0,88.0,4.7,4.9,5.0,4.9,5.0,4.7,41.0,1.0
280,5.0,3.0,1.0,61.0,4.8,4.9,5.0,4.9,5.0,4.8,36.0,1.0
281,8.0,4.0,2.0,249.0,4.9,5.0,5.0,5.0,5.0,4.8,37.0,3.0
282,2.0,1.0,1.0,75.0,5.0,4.9,5.0,5.0,5.0,4.9,41.0,1.0
283,2.0,1.0,1.0,72.0,5.0,5.0,5.0,5.0,5.0,5.0,33.0,1.0
284,2.0,2.0,1.0,120.0,4.9,5.0,5.0,4.9,5.0,4.9,35.0,1.0
285,4.0,2.0,1.0,104.0,5.0,5.0,5.0,5.0,5.0,4.9,28.0,1.0
286,4.0,5.0,1.0,550.0,4.8,5.0,5.0,5.0,5.0,4.7,34.0,2.0
287,2.0,1.0,1.0,81.0,5.0,5.0,5.0,4.9,5.0,4.8,38.0,1.0
288,8.0,5.0,2.0,228.0,4.9,5.0,5.0,4.9,5.0,4.8,24.0,3.0
289,4.0,2.0,1.0,70.0,5.0,4.9,5.0,4.9,5.0,4.8,23.0,1.0
290,4.0,2.0,1.5,108.0,5.0,5.0,5.0,5.0,5.0,4.9,47.0,2.0
291,4.0,1.0,1.0,66.0,5.0,5.0,5.0,4.8,4.9,4.9,38.0,1.0
292,2.0,3.0,1.0,144.0,5.0,5.0,5.0,5.0,5.0,4.9,47.0,1.0
293,2.0,1.0,1.0,135.0,5.0,5.0,5.0,5.0,5.0,4.9,51.0,1.0
294,2.0,1.0,1.0,75.0,5.0,5.0,5.0,5.0,5.0,4.9,33.0,1.0
295,2.0,1.0,1.0,81.0,4.9,5.0,5.0,4.9,5.0,4.8,23.0,1.0
296,6.0,3.0,1.5,187.0,5.0,5.0,5.0,5.0,5.0,4.8,30.0,2.0
297,4.0,1.0,1.5,107.0,4.6,4.7,5.0,5.0,5.0,4.6,30.0,1.0
298,4.0,2.0,1.0,108.0,4.7,4.8,4.9,4.9,5.0,4.8,36.0,1.0
299,5.0,3.0,1.0,120.0,5.0,5.0,5.0,4.9,5.0,4.9,34.0,2.0
300,6.0,3.0,1.5,93.0,5.0,4.9,5.0,4.9,5.0,4.8,30.0,2.0
301,2.0,1.0,1.5,78.0,4.9,5.0,5.0,5.0,5.0,4.9,47.0,1.0
302,4.0,3.0,1.0,105.0,5.0,5.0,5.0,4.9,5.0,4.8,39.0,2.0
303,2.0,1.0,1.0,92.0,4.9,5.0,4.9,5.0,5.0,4.9,19.0,1.0
304,2.0,1.0,1.0,66.0,5.0,5.0,5.0,4.8,5.0,4.9,49.0,1.0
305,4.0,2.0,1.0,64.0,4.8,4.8,4.9,4.9,4.8,4.6,39.0,1.0
306,2.0,1.0,1.0,66.0,5.0,5.0,5.0,5.0,5.0,4.9,41.0,1.0
307,1.0,1.0,1.0,62.0,4.9,5.0,4.9,5.0,5.0,4.9,19.0,1.0
308,2.0,1.0,1.0,41.0,4.9,4.9,5.0,5.0,5.0,4.9,42.0,1.0
309,7.0,5.0,1.0,72.0,4.8,4.9,4.9,5.0,5.0,4.9,49.0,3.0
310,2.0,1.0,1.0,95.0,5.0,5.0,5.0,5.0,5.0,4.9,29.0,1.0
311,6.0,3.0,1.0,89.0,4.9,5.0,5.0,5.0,5.0,4.9,46.0,3.0
312,4.0,3.0,1.0,112.0,5.0,5.0,5.0,4.9,5.0,4.8,39.0,2.0
313,2.0,1.0,1.0,66.0,4.9,4.9,4.9,4.9,4.9,4.9,23.0,1.0
314,1.0,1.0,1.0,44.0,5.0,5.0,5.0,4.9,5.0,5.0,39.0,1.0
315,4.0,3.0,1.0,130.0,5.0,5.0,5.0,5.0,5.0,5.0,53.0,1.0
316,5.0,4.0,1.0,264.0,4.9,4.9,5.0,5.0,4.9,4.6,34.0,2.0
317,10.0,7.0,2.0,196.0,4.9,4.9,5.0,4.9,4.9,4.8,30.0,3.0
318,1.0,1.0,1.0,105.0,5.0,5.0,5.0,5.0,5.0,4.9,23.0,1.0
319,2.0,1.0,1.0,135.0,5.0,5.0,5.0,5.0,5.0,4.9,28.0,1.0
320,4.0,1.0,1.0,80.0,4.5,4.8,4.9,4.8,4.9,4.5,20.0,1.0
321,2.0,1.0,1.0,172.0,4.8,4.8,4.9,4.9,4.9,4.5,23.0,1.0
322,4.0,2.0,1.0,138.0,5.0,5.0,5.0,5.0,5.0,4.9,35.0,1.0
323,2.0,1.0,1.0,158.0,4.9,5.0,4.9,5.0,4.9,4.8,22.0,1.0
324,4.0,3.0,1.0,150.0,4.9,4.9,5.0,5.0,5.0,4.8,50.0,2.0
325,4.0,2.0,1.5,110.0,4.9,4.9,5.0,5.0,5.0,4.8,32.0,1.0
326,2.0,1.0,1.0,90.0,4.9,4.9,5.0,4.9,5.0,4.8,37.0,1.0
327,2.0,1.0,1.0,144.0,5.0,5.0,5.0,5.0,5.0,4.9,39.0,1.0
328,2.0,1.0,1.0,107.0,5.0,5.0,5.0,5.0,5.0,4.8,27.0,1.0
329,1.0,1.0,1.0,95.0,4.9,5.0,5.0,5.0,5.0,4.8,26.0,1.0
330,2.0,1.0,1.0,132.0,5.0,5.0,5.0,5.0,5.0,4.9,32.0,1.0
331,2.0,1.0,1.0,125.0,5.0,5.0,5.0,5.0,5.0,4.9,24.0,1.0
332,4.0,3.0,2.0,255.0,4.9,5.0,5.0,4.9,5.0,4.8,30.0,2.0
333,6.0,7.0,2.0,137.0,4.7,4.8,5.0,4.7,4.9,4.7,44.0,2.0
334,2.0,1.0,1.0,140.0,5.0,4.9,5.0,4.9,5.0,4.9,38.0,1.0
335,2.0,1.0,1.0,93.0,5.0,5.0,5.0,5.0,5.0,4.9,45.0,1.0
336,4.0,2.0,1.0,124.0,5.0,5.0,5.0,5.0,5.0,4.8,26.0,1.0
337,2.0,1.0,1.0,78.0,4.8,4.9,5.0,5.0,4.9,4.8,17.0,1.0
338,2.0,1.0,1.0,132.0,5.0,5.0,5.0,5.0,5.0,4.9,35.0,1.0
339,4.0,2.0,1.0,120.0,5.0,5.0,5.0,4.9,5.0,4.7,40.0,1.0
340,3.0,2.0,1.0,69.0,4.8,4.9,5.0,4.9,5.0,4.8,41.0,2.0
341,2.0,1.0,1.0,108.0,5.0,5.0,5.0,4.9,5.0,5.0,36.0,1.0
342,4.0,2.0,1.0,95.0,5.0,5.0,4.9,4.9,4.9,4.8,33.0,1.0
343,2.0,1.0,1.0,150.0,5.0,5.0,5.0,5.0,5.0,5.0,48.0,1.0
344,4.0,3.0,1.5,168.0,4.9,5.0,5.0,5.0,5.0,4.8,53.0,2.0
345,4.0,2.0,1.0,71.0,5.0,5.0,5.0,4.9,5.0,4.9,46.0,1.0
346,2.0,1.0,1.0,143.0,5.0,5.0,4.9,5.0,5.0,4.8,47.0,1.0
347,2.0,1.0,1.5,135.0,4.9,5.0,4.9,4.9,4.9,4.8,21.0,1.0
348,2.0,1.0,1.0,143.0,4.7,4.8,4.8,4.8,4.8,4.8,19.0,1.0
349,2.0,1.0,1.0,102.0,5.0,5.0,4.9,5.0,4.9,4.9,17.0,1.0
350,4.0,3.0,1.0,50.0,4.9,4.9,4.8,4.9,4.9,4.9,30.0,1.0
351,2.0,1.0,1.0,120.0,5.0,5.0,5.0,5.0,5.0,4.9,36.0,1.0
352,4.0,3.0,1.0,177.0,5.0,5.0,5.0,5.0,5.0,4.7,26.0,2.0
353,4.0,2.0,1.0,150.0,4.9,4.8,5.0,4.7,5.0,4.8,23.0,1.0
354,2.0,1.0,1.0,125.0,5.0,5.0,5.0,5.0,5.0,5.0,44.0,1.0
355,7.0,6.0,2.0,312.0,5.0,4.9,5.0,5.0,5.0,4.7,66.0,4.0
356,1.0,1.0,1.0,97.0,4.9,4.8,5.0,4.8,5.0,4.4,14.0,1.0
357,4.0,3.0,1.0,75.0,4.9,5.0,5.0,4.9,5.0,4.9,25.0,2.0
358,6.0,5.0,2.0,209.0,4.7,4.9,4.9,4.9,5.0,4.8,39.0,3.0
359,2.0,1.0,1.0,91.0,5.0,5.0,5.0,5.0,5.0,4.9,53.0,1.0
360,2.0,1.0,1.0,58.0,4.9,4.8,4.9,4.9,4.9,4.7,26.0,1.0
361,4.0,4.0,2.0,119.0,4.6,4.9,4.6,4.8,4.8,4.5,33.0,2.0
362,4.0,3.0,1.5,78.0,4.9,5.0,5.0,4.9,5.0,4.9,31.0,2.0
363,2.0,1.0,1.0,117.0,5.0,5.0,5.0,5.0,5.0,5.0,41.0,1.0
364,3.0,2.0,1.0,88.0,4.9,4.8,4.9,4.9,4.9,4.7,60.0,1.0
365,2.0,1.0,1.0,163.0,5.0,5.0,5.0,5.0,5.0,4.9,15.0,1.0
366,2.0,1.0,1.0,84.0,5.0,5.0,5.0,5.0,5.0,4.9,45.0,1.0
367,2.0,1.0,1.0,113.0,4.8,4.9,4.9,4.9,4.9,4.7,30.0,1.0
368,6.0,3.0,2.0,158.0,4.6,4.7,4.7,4.7,4.9,4.6,15.0,3.0
369,2.0,2.0,1.5,87.0,5.0,5.0,5.0,4.9,5.0,4.8,47.0,1.0
370,2.0,1.0,1.0,222.0,4.8,4.9,4.9,5.0,4.9,4.6,17.0,1.0
371,2.0,1.0,1.0,194.0,5.0,5.0,5.0,5.0,5.0,4.8,47.0,1.0
372,8.0,6.0,1.5,130.0,4.9,4.9,4.9,4.9,5.0,4.8,20.0,3.0
373,2.0,1.0,1.5,125.0,4.9,4.9,4.9,4.9,5.0,4.7,15.0,1.0
